Product Name,Category,Description,Price,Stock,Image,Additional Images,Custom Fields,Created At,Updated At
Lenovo Yoga Slim,Laptop and Desktop,"Lenovo Yoga Slim laptops are stylish, ultra-thin notebooks offering powerful performance and long battery life, ranging from 13.3"" to 14.5"" with features like Intel/AMD processors, OLED displays, and Thunderbolt 4 ports. Choose from models like the Yoga Slim 7i Pro X for creative work or the Yoga Slim 7i Carbon for ultimate portability",110000.00,0,/media/product_images/lenovo_yoga-removebg-preview_1_LVEFzDd.png,,,2024-02-21 18:23:30+00:00,2024-02-21 18:24:26.930101+00:00
ASUS Vivo AiO V222,Laptop and Desktop,"The ASUS Vivo AiO V222 packs a PC into a sleek, space-saving design. Imagine a 21.5-inch Full HD display with vibrant colors, powered by a quad-core Pentium processor and 8GB of RAM for smooth multitasking. Store all your essentials on the speedy 256GB SSD and enjoy the seamlessness of Windows 11 Home. This all-in-one wonder weighs just 4.8kg, making it perfect for desks of all sizes, and its white finish adds a touch of modern elegance to any room. Whether you're browsing the web, working on documents, or streaming movies, the V222 delivers a capable and stylish computing experience, all without the clutter of a traditional tower PC.",35990.00,0,/media/product_images/asus_desk-removebg-preview_1_qQE2Myn.png,,,2024-02-21 18:24:50+00:00,2024-02-21 18:25:32.414231+00:00
HP Pavilion Intel Core i5,Laptop and Desktop,"The HP Pavilion laptop is powered by the 12th Gen Intel Core processor which offers smooth and powerful performance. It delivers 1920 x 1080 resolution visuals so you can enjoy high-quality content on this laptop. The built-in Alexa enables you to access and control entertainment using voice commands. With the Bang & Olufsen audio system, you can enjoy immersive audio as you tune into your favourite music or watch movies, shows, and much more. This lightweight laptop is easy to carry, thanks to its sleek, stylish design. The backlit keyboard of this laptop allows you to work even in low-light conditions and enhances its appearance.",63990.00,0,/media/product_images/_original_imagxfsbuujjwdkd-removebg-preview_1_1f4KtrT_heryfwP.png,,,2024-02-21 18:25:35+00:00,2024-02-21 18:27:24.904149+00:00
Apple 2023 MacBook Pro,Laptop and Desktop,"Unleash powerhouse performance in a sleek and portable package with the Apple 2023 MacBook Pro M2 Max. This powerhouse features a next-generation Apple M2 Max chip with 32GB of unified memory, delivering lightning-fast processing and graphics, ideal for demanding creative workflows like video editing, 3D rendering, and high-resolution image manipulation. Immerse yourself in the stunning visuals of the 14-inch Liquid Retina XDR display with vibrant colors, deep blacks, and incredible contrast. True ProMotion technology adapts the refresh rate for buttery-smooth scrolling and fluid responsiveness, while P3 wide color gamut ensures exceptional color accuracy for professional workflows.",290990.00,0,/media/product_images/mphg3hn-a-thin-and-light-laptop-apple-original-imagmfhepavqyfyy-removebg-_eycQ1ds.png,,,2024-02-21 18:27:28+00:00,2024-02-21 18:28:07.402411+00:00
MICROSOFT Surface Pro 9,Laptop and Desktop,"Unleash your creativity and conquer tasks with the Surface Pro 9! Experience vibrant visuals on the high-resolution 13-inch display, switch effortlessly between tablet and laptop with the detachable keyboard, choose between powerful Intel or AI-powered processors, and enjoy all-day battery life. All in a sleek, lightweight design starting at $999 - let your ideas flow where they may.",89990.00,0,/media/product_images/qil-00031-thin-and-light-laptop-microsoft-original-imagtyx5sjghg46j-remov_DpBPg9a.png,,,2024-02-21 18:28:10+00:00,2024-02-21 18:29:03.609937+00:00
Dell Inspiron,Laptop and Desktop,"The Dell Inspiron 5410 2-in-1 is a versatile laptop that can be used for both work and play. It features a powerful 11th Gen Intel Core i5 processor, 16GB of DDR4 RAM, and a 512GB solid-state drive. The 14-inch Full HD touchscreen display is bright and clear, and the backlit keyboard makes it easy to type in low-light conditions. The laptop also has a fingerprint reader for added security. This 2-in-1 laptop can be used in laptop, tablet, tent, and stand modes, making it perfect for a variety of tasks. The included active pen allows you to take notes, draw, and edit photos with precision. The laptop also has a long battery life, so you can stay productive all day long.",74000.00,0,/media/product_images/dellinspiron-removebg-preview_1_nNhsLvk.png,,,2024-02-21 18:22:57+00:00,2024-02-21 18:30:23.619027+00:00
Flexicool Convertible,Air Conditioners,"In a world where technology and human comfort converge, Carrier stands as a beacon of innovation, placing your needs at the forefront. The Carrier AC, adorned with the revolutionary AI 6-in-1 Flexicool Technology, exemplifies a seamless blend of personalisation, energy efficiency, and exceptional cooling. Elevate your living space with an AC that not only cools but adapts, protects, and performs beyond expectations.",34990.00,3,/media/product_images/flexicool.png,,,2024-04-06 07:30:32+00:00,2024-04-06 07:32:14.208743+00:00
HP MT v220w,Storage,"The HP V220w is a 128GB pen drive with a sleek design, offering good storage capacity but likely using slower USB 2.0 technology.",494.00,4,/media/product_images/hp_pendrive_prev_ui_1.png,product_images/redmi.png,,2024-04-23 22:10:51+00:00,2024-04-23 22:20:56.753381+00:00
SanDisk Cruze Blade,Storage,"Backing up, transferring, sharing, and storing files is convenient with this SanDisk Blade 64GB pendrive.

Easy to use
Compact in design and with generous storage space, this flash drive lets you start storing and transferring files immediately.",469.00,4,/media/product_images/sandisk_pendrive_prev_ui_1.png,,,2024-04-23 22:35:26+00:00,2024-04-23 22:36:59.474375+00:00
SanDisk Ultra 32 GB SDHC,Storage,"Highlights : Ideal for Android smartphones and Tablets and, Cameras. Upto 120MB/s transfer speed let you move 100 photos in a minute [32GB-1TB]. Loads APPs faster with A1 Rated Performace. Class 10 for Full HD video Recording and Playback. Sandisk memory Zone for easy file Managment. Fast for better pictures, app performance and Full HD video The SanDisk Ultra® microSD™ UHS-I card with SD adapter gives you the freedom to shoot, save and share more than ever before. With capacities up to 1TB1, our SanDisk Ultra microSD card has room for even more hours of Full HD video4 and delivers transfer speeds of up to 120MB/s2 to help you move that content fast. Ideal for Android™ smartphones and tablets, the card loads apps faster with A1-rated performance.",585.00,5,/media/product_images/sandisk_card_prev_ui_1.png,,,2024-04-23 22:46:12+00:00,2024-04-23 22:54:31.841711+00:00
Canon EOS 1500D,Camera and Accessories,"This Canon Camera gives you the freedom to explore different ways to shoot subjects. It packs a multitude of shooting options which you can incorporate in still images to create art that embodies the exact mood and vision you are going for. Don’t worry about the lighting conditions of a place because this camera’s large-sized sensor is designed to capture picture-perfect shots even in a dimly lit environment. Thanks to its Wi-Fi connectivity and NFC paring options, sharing photos is as simple as it gets.",49990.00,3,/media/product_images/eos-1500d-canon-original-imafzfugydh2mjgf_prev_ui_1.png,,,2024-04-23 22:54:43+00:00,2024-04-23 23:07:59.138973+00:00
GoPro Hero11,Camera and Accessories,"If you are a photography enthusiast, you can get your hands on the GoPro HERO11 Camera for high-quality photos and videos. Its sturdy construction allows it to function even in water that is up to 10.058 m (33) deep, ensuring long-lasting performance. In addition, with a responsive rear touch screen, this camera enables seamless and speedy performance. Moreover, with HyperSmooth 5.0 technology, this camera offers sophisticated in-camera video stabilisation, allowing you to record smooth footage regardless of how choppy it becomes.",33490.00,5,/media/product_images/617sGSjmC1L_prev_ui_1_mordnMC.png,,,2024-04-23 23:04:14+00:00,2024-04-23 23:07:18.287304+00:00
NIKON Coolpix P950,Camera and Accessories,"Ultra-zoom lens:It boasts a staggering 83x optical zoom, letting you capture close-up shots of distant subjects or wildlife.16-megapixel sensor: While not the highest resolution on the market, it delivers good image quality for everyday photography.
Compact size: Despite the long zoom lens, it maintains a relatively portable design compared to bulkier DSLR cameras.",61399.00,10,/media/product_images/p950_9_prev_ui_1.png,,,2024-04-23 23:11:37+00:00,2024-04-23 23:14:49.158020+00:00
SONY PlayStation 5,Gaming,"Brace yourself for a whole new world of possibilities as the PS5 unleashes unparalleled power and innovation. Get ready to elevate your gaming experience to new heights with the Sony PlayStation 5 Console. Unleash the power of play, immerse yourself in stunning visuals, and explore a world of endless possibilities. With the PS5, gaming will never be the same again.",44990.03,4,/media/product_images/ps5-product-thumbnail-01-en-14sep21_prev_ui_1.png,,,2024-04-23 23:19:48+00:00,2024-04-23 23:26:29.547962+00:00
Ant Esports VR Charger Station,Gaming,"The Ant Esports VR charger station is a great addition to your game desk. You can easily charge your headset, controllers, and batteries at this charging station to have a seamless gaming experience. The LED light indicator of this charging station displays the charging status to enhance your convenience. It also features changing light modes to set up your personalised gaming atmosphere.",2399.00,2,/media/product_images/61PXDhdcjkL_prev_ui_1.png,,,2024-04-23 23:34:26+00:00,2024-04-23 23:35:10.079484+00:00
Tech Aura SUP 2,Gaming,The Tech Aura SUP 2 Player is a handheld video game console with a built-in rechargeable battery and a colorful LCD screen. It likely comes pre-loaded with games (storage size is mentioned as 8GB) and allows two players to compete on the same device.,899.00,5,/media/product_images/techno.png,,,2024-04-24 00:07:46+00:00,2024-04-24 00:26:32.820883+00:00
Blue Star 1.5 Ton,Air Conditioners,"The Blue Star 1.5-ton Split Inverter AC redefines comfort with intelligent features. The AI Pro adapts cooling based on ambient and room conditions, ensuring personalised comfort. Voice Command Technology enables easy control using Amazon Alexa or Google Assistant, providing a hands-free experience. The Smart App offers remote control, letting you manage settings from anywhere. Its 5-in-1 Convertible Cooling caters to various comfort needs, while Turbo Cool instantly brings relief during extreme heat. The 4-Way Swing ensures uniform cooling, and the Quiet Performance with an acoustic jacket eliminates noise and vibrations. Anti-corrosive Blue Fins shield against elements, promising durability. This AC isn't just about cooling; it's a symphony of technology enhancing your everyday comfort. Welcome to the future of cooling with Blue Star.",44990.00,5,/media/product_images/61nF5ekaaPL_prev_ui_1.png,,,2024-04-24 01:05:08+00:00,2024-04-24 01:08:11.810937+00:00
Godrej Turbo Mode,Air Conditioners,"You can wind down even in adverse weather thanks to the excellent features and cosy coolness of the Godrej air conditioner. For you to breathe clean air, the Anti-dust Filter can collect and remove tiny dust, pollen, hair, pet dander, and hair particles. Condenser coils and related tubing for this air conditioner are also constructed entirely of copper. Copper is a durable, corrosion-resistant metal that increases security. Also, the use of R32, a refrigerant with a low potential for global warming and less ozone depletion, in this AC contributes to the development of a truly sustainable environment.",35100.00,0,/media/product_images/godrej.png,,,2024-04-24 01:09:09+00:00,2024-04-24 01:16:01.686664+00:00
Kenstar 45 L Room/Personal Air Cooler,Air Coolers,"Designed to consume 230V power, the Kenstar TurboCool Neo HC 45 Room Air Cooler offers smooth and efficient performance. Offering long-lasting performance along with a portable and compact design, the Kenstar 45 L Personal Air Cooler is an ideal choice for your bedrooms or workspace. Made from corrosion-resistant engineered thermoplastic material, this air cooler boasts long-term durability. And, its castor wheels let you effortlessly move it wherever required.",6199.00,4,/media/product_images/ImageHandler_prev_ui_1.png,,,2024-04-24 01:21:15+00:00,2024-04-24 01:22:55.201950+00:00
Symphony 75 L,Air Coolers,"You can beat the summer heat with the help of the Symphony Sumo 75 XL Desert Air Cooler. Courtesy of its up to 75 L tank capacity, this air cooler enables you to enjoy undisturbed cooling for extended durations. Moreover, sporting a water level indicator, this air cooler lets you know when it's time to refill the tank. Also, integrated with i-PURE technology, this air cooler can effectively eliminate unpleasant odours, allergens, dust particles, and other air impurities.",12499.00,2,/media/product_images/Group206869_prev_ui_1.png,,,2024-04-24 01:25:02+00:00,2024-04-24 01:33:36.381343+00:00
SmartBuy 30 L Tower Air Cooler,Air Coolers,"You can stay cool and comfortable all summer long with the Flipkart SmartBuy Tower Air Cooler. It is designed to provide exceptional performance and offer effective, clean air. In addition, this air cooler has a water level indicator that alerts you when it needs to be refilled. Furthermore, this air cooler can run for up to nine hours with a full tank, eliminating the need for you to get up in the middle of the night to refill it.",6199.00,10,/media/product_images/1713363154_WwJBJJKQ_prev_ui_1.png,,,2024-04-24 01:36:55+00:00,2024-04-24 01:41:47.333384+00:00
BPL 45 L Refrigerator,MINI FRIDGE,* Chiller Trey * Curved Door Design * Automatic Closing Doors * 2L Bottle storage * Adjustable Legs * Veggie Crisper,15489.96,5,/media/product_images/1_64_1_2_prev_ui_1.png,,,2024-04-24 01:54:12+00:00,2024-04-24 01:56:44.931542+00:00
Kelvinator 45 L Refrigerator,MINI FRIDGE,The Kelvinator 45L Direct Cool Single Door 2 Star Refrigerator is a compact refrigerator ideal for small spaces or single users.,9949.00,5,/media/product_images/kelvinator_prev_ui_1.png,,,2024-04-24 01:58:28+00:00,2024-04-24 02:02:23.611345+00:00
Venus 15 L Storage,Heaters,"Loaded with features to ensure long-lasting performance, Mega Plus is perfect for multi-storey buildings and also pressure pumps.",7268.00,6,/media/product_images/31z-yETDUbL_prev_ui_1.png,,,2024-04-24 02:10:02+00:00,2024-04-24 02:11:55.406572+00:00
Crompton 3 L Instant Water Geyser,Heaters,"You can start off your mornings by having hot water baths with the Crompton Juno 3 L Instant Water Heater. Built with an up to 3000 W high-grade copper heating element, this water heater offers quick heating. Additionally, it has the ability to endure up to 6.5 kg/cm2 pressure, making this water heater ideal for high-rise buildings. Furthermore, made with a robust body, this water heater is tough and heat resistant.",2698.98,0,/media/product_images/heaterhot_prev_ui_1_1.png,,,2024-04-24 02:24:05+00:00,2024-04-24 02:27:45.144074+00:00
FIRSTCURE Face,Steamer,"Steam Inhalator, Vaporizer, Nasal Treatment. Respiratory Ailments Therapy, Block Nose and Throat Treatment, Treatment of Cold, Bronchitis. Color May Very Good Life Stay Healthy, Live Well (Delux) Vaporizer. Vaporizer : For Wellness & For Beauty, 4 Way Action | Relieves | Soothes | Cleans | Refreshes. Importance Note: Without Indicator Light It takes 3-5 Minutes generating steam. Please wait 3-5 Minutes. Use only SOFT water.vaporizer steamer beautify skinrelieves from cold,cough. cheap and all 3 things in 1 device safe product use for steam blackedes remover,skin cleaner.etc herbal vaporizer, buy vaporiser, best facial steamer, steam inhaler, steamer for cold and cough. cold relieves,headache,face cleaner,cough relieves. aged,mens,womens,teens,also childrens cleaning skin,cold relieve,cough relieve,face beauty",238.00,4,/media/product_images/steamerapp_prev_ui_1.png,,,2024-04-24 02:29:33+00:00,2024-04-24 02:32:10.191681+00:00
InstaCuppa Ultrasonic,Humidifiers,"Here's where our InstaCuppa Cool Mist Humidifier can help! This unique humidifier has a separate compartment for adding aroma oils. It mixes your favorite nice-smelling oils into the mist, creating a calm space that helps everyone sleep better. With our Ceramic Balls Water Filter and Cotton Mesh Air Dust Filter, our InstaCuppa Pure Mist Humidifier ensures that your home's mist is clean and free from dust and things that cause allergies.",2999.00,4,/media/product_images/51i2K4yFFGL_prev_ui_1.png,,,2024-04-24 02:33:16+00:00,2024-04-24 02:35:00.803139+00:00
Pigeon Favourite Electric Kettle,Kettles,"You can easily make tea, coffee, instant noodles, and more with the help of the Pigeon Favourite Electric Kettle. With its easy-grip cool-touch handle, this electric kettle enables you to pour your beverages easily and comfortably. Thanks to its power consumption of up to 1200 W, this electric kettle offers optimal performance while conserving energy. Designed using high-quality stainless steel, this electric kettle offers safety and long-lasting performance. Furthermore, it boasts a 360-degree cordless design that lets you conveniently move it in any direction.",599.00,5,/media/product_images/810-sGseHwL_prev_ui_1.png,,,2024-04-24 02:36:13+00:00,2024-04-24 02:38:06.765327+00:00
CITRODA Mini Handheld Fan,Hand Held Fans,"Rechargeable Fan with Light Can be wall mounted Compact and portable Can be used in 4 angles as per comfort Super bright Light Low consumption of power Simple, convenient, environment-friendly Can be used as study lamp or as a personal fan.HOW TO OPERATE 1.Press the LED button for the first time,the light is strong lingh; Press the LED button for the Second time, the light is weak light; Press button for the third time, the light is off. 2.Turn the fan button Right Side (Clockwise) for the first time, the fan is in Full speed; Turn the fan button (Clockwise) Again for the Second time, the fan is in Slow speed; You Can Set Fan Flow Speed By Turn Button (Clockwise or Anti Clockwise). • Battery: 4V 1600mAh rechargeable battery • 5VUSB charge time:5-6hrs • Duration: 2-2.5hrs/high speed 2.5-3hrs/low speed 6-8hrs/strong light 8-10hrs/weak light • diameter:18cm • Unfold height: 45cm • Folding height: 15cm • POWER BANK OUTPUT5V 0.6A",599.00,4,/media/product_images/71q2RP17jCL._AC_UF8941000_QL80__prev_ui_1.png,,,2024-04-24 02:40:13+00:00,2024-04-24 02:40:59.343062+00:00
